nom	genre	editeur	date_sortie
#killallzombies	Shooter	Beatshapers	Nov 12, 2014
10 Second Ninja X	Platform	Curve Digital	Jul 19, 2016
100ft Robot Golf	Sports	No Goblin	Oct 10, 2016
101 Ways to Die	Platform, puzzle	Vision Games	Mar 22, 2016
11-11: Memories Retold	Adventure	Bandai Namco Ent.	Nov 9, 2018
140	Platform	Abstraction Games	Sep 1, 2016
1001 Spikes	Platform	Nicalis	Oct 7, 2015
13 Sentinels: Aegis Rim	Mecha	Atlus	TBA
2064: Read Only Memories	Adventure	MidBoss	Jan 17, 2017
20XX	Action, platform	Batterystaple Games	Jul 10, 2018
The 25th Ward: The Silver Case	Visual novel	NIS America	Mar 13, 2018
2Dark	Horror, stealth	Bigben Interactive	Mar 10, 2017
428: Shibuya Scramble	Visual novel	Spike Chunsoft	Sep 21, 2018
7 Days to Die	Survival	Telltale Publishing	Jul 1, 2016
8-bit Adventure Anthology: Volume I	Point-and-click adventure	Abstraction Games	Oct 31, 2017
8-Bit Armies	Real-time strategy	Soedesco	TBA
8-Bit Hordes	Real-time strategy	Soedesco	TBA
88 Heroes	Platform	Rising Star Games	Mar 24, 2017
911 Operator	Platform	Code Horizon	Nov 8, 2017
99Vidas	Beat 'em up	QuByte Interactive	Dec 8, 2017
A-Train Express	Simulation	Artdink	Unreleased
Aaero	Shooter	Reverb Triple XP	Apr 11, 2017
Aaru's Awakening	Platform	Lumenox Games	Apr 8, 2015
A Boy and His Blob	Platform, puzzle	Majesco Entertainment	Jan 19, 2016
Absolute Drift: Zen Edition	Racing	Flippfly	Aug 16, 2016
Absolver	Action RPG	Devolver Digital	Aug 29, 2017
Abzû	Adventure, art	505 Games	Aug 2, 2016
Accel World VS Sword Art Online	Action RPG	Bandai Namco Entertainment	Jul 7, 2017
Ace Combat 7: Skies Unknown	Flight simulator	Bandai Namco Entertainment	Jan 18, 2019
A Certain Magical Virtual-On	Action	Sega	Unreleased
Act It Out! A Game of Charades	Party	Snap Finger Click	Jan 12, 2016
Action Henk	Platform	Curve Digital	Mar 8, 2016
Adrift	First-person	505 Games	Jul 15, 2016
The Adventure Pals	Adventure, role-playing	Armor Games	Apr 3, 2018
Adventures of Pip	Platform	Tic Toc Games	Feb 9, 2016
Adventures of Scarlet Curiosity	Action role-playing	Mediascape	Unreleased
Adventure Time: Finn & Jake Investigations	Action-adventure	Little Orbit	Nov 6, 2015
Aegis Defenders	Action, strategy	Guts Department	Feb 8, 2018
Aegis of Earth: Protonovus Assault	Tower defense	Aksys Games	Apr 22, 2016
AER: Memories of Old	Adventure	Daedalic Entertainment	Oct 25, 2017
AeternoBlade	Action	Corcell Technology	Aug 5, 2015
AFL Evolution	Sports	Tru Blu Entertainment
Agatha Christie: The ABC Murders	Point-and-click adventure	Microïds	Feb 4, 2016
Agents of Mayhem	Action, third-person	Deep Silver	Aug 18, 2017
Agony	Survival horror	PlayWay	May 29, 2018
A Hat in Time	Platform	Gears for Breakfast	Dec 6, 2017
A Healer Only Lives Twice	Dungeon crawl	Platine Dispositif	Jul 25, 2017
AIPD	Shoot 'em up	Blazing Badger	Jan 29, 2016
Air Conflicts: Pacific Carriers	Flight simulator	Kalypso Media	Nov 6, 2015
Air Conflicts: Vietnam	Flight simulator	bitComposer Interactive	Unreleased
Airport Architect	Simulation	UIG Entertainment	TBA
Airship Q	Action role-playing	Miracle Positive	Unreleased
AI: The Somnium Files	Adventure	Spike Chunsoft	TBA
Akiba's Beat	Action role-playing	Marvelous USA	Mar 19, 2017
Akiba's Trip: Undead & Undressed	Action role-playing	Marvelous USA	Feb 13, 2015
Alaloth: Champions of The Four Kingdoms	Action role-playing	Gamera	2018
Alekhine's Gun	Action, stealth	Maximum Games	Mar 11, 2016
Alienation	Shoot 'em up	Sony Interactive Entertainment	Apr 26, 2016
Alien: Isolation	Survival horror	Sega	Oct 7, 2014
Alone with You	Adventure	Benjamin Rivers	Aug 23, 2016
Always Sometimes Monsters	RPG	Devolver Digital	Oct 10, 2017
Amazing Discoveries in Outer Space	Platform	Cosmic Picnic	Feb 3, 2016
The Amazing Spider-Man 2	Action-adventure	Activision	May 2, 2014
Amnesia Collection	Survival horror	Frictional Games	Nov 22, 2016
Among the Sleep	Survival horror	Krillbite Studio	Dec 10, 2015
Amplitude	Music, rhythm	Harmonix	Jan 5, 2016
Anamorphine	Adventure	Artifact 5	2018
Anarcute	Action	AnarTeam	Unreleased
Anew: The Distant Light	Action, puzzle	Resonator	TBA
Angry Birds Star Wars	Puzzle	Activision	Nov 29, 2013
Anima: Gate of Memories	Action role-playing	BadLand Games	Jun 3, 2016
Anodyne	Role-playing	Nnooo	TBA
Anoko wa Ore kara Hanarenai [ja]	Visual novel	TGL	Unreleased
Anomaly 2	Real-time strategy	11 bit studios	Sep 17, 2014
Anonymous;Code	Visual novel	5pb.	Unreleased
Another World: 20th Anniversary Edition	Cinematic platformer	The Digital Lounge	Jun 25, 2014
Anthem	Action role-playing	Electronic Arts	Feb 22, 2019
Antiquia Lost	RPG	Kemco	Sep 5, 2017
AO Tennis	Sports	Big Ant Studios	Jan 16, 2018
A Pixel Story	Platform, puzzle	Rising Star Games	Feb 24, 2017
A Plague Tale: Innocence	Action-adventure	Focus Home Int.	2019
Apotheon	Action role-playing, platform	Alientrap	Feb 3, 2015
Aqua Moto Racing Utopia	Racing	Zordix AB	Nov 30, 2016
Aragami	Action, stealth	Merge Games	Oct 4, 2016
Arcade Archives: A-Z	Assorted	Hamster	Assorted
Arcade Game Series: A-Z	Assorted	Bandai Namco Ent.	Assorted
Arcania: The Complete Tale	Action role-playing	Nordic Games	May 8, 2015
Ark: Survival Evolved	Action, survival	Studio Wildcard	Aug 29, 2017
Armello	Board game, role-playing	League of Geeks	Sep 1, 2015
Arslan: The Warriors of Legend	Action	Koei Tecmo	Feb 12, 2016
Art of Balance	Puzzle	Shin'en Multimedia	Jun 3, 2016
Asdivine Hearts	RPG	Kemco	Nov 7, 2017
Asemblance	Adventure	Nilo Studios	Jul 26, 2016
Ashen Rift	Survival horror	Pyroclastic Games	TBA
Ashes Cricket	Sports	Big Ant Studios	Nov 16, 2017
Assassin's Creed Chronicles	Action-adv, stealth	Ubisoft	Assorted
Assassin's Creed IV: Black Flag	Action-adv, stealth	Ubisoft	Nov 22, 2013
